textID,sentiment
Last session of the day  http://twitpic.com/67ezh,negative
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative
 happy bday!,positive
 http://twitpic.com/4w75p - I like it!!,positive
 that`s great!! weee!! visitors!,positive
I THINK EVERYONE HATES ME ON HERE   lol,neutral
" soooooo wish i could, but im in school and myspace is completely blocked",neutral
 and within a short time of the last clue all of them,neutral
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral
My bike was put on hold...should have known that.... argh total bummer,neutral
 I checked.  We didn`t win,neutral
 .. and you`re on twitter! Did the tavern bore you that much?,positive
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",neutral
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,neutral
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative
 Miss you,negative
Cramps . . .,negative
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,neutral
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral
Stupid storm. No river for us tonight,negative
My dead grandpa pays more attention to me than you do,negative
"... need retail therapy, bad. AHHH.....gimme money geebus",neutral
about to go to sleep,neutral
 you are lame  go make me breakfast!!,negative
 thats so cool,positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral
"Huh, another ScarePoint coding Sunday",neutral
 look who I found just for you  --->  http://twitter.com/DJT2009,neutral
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",neutral
 guess that depends on if you want to be on the jury,neutral
resorted to eating Mickey Ds ALONE.,neutral
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral
 did he ask for your Twitter ID? Your sun sign?,neutral
 where`d you go!,neutral
Watching Body of Lies...good film,neutral
Happy mothers day mumm  xoxo,positive
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral
 I`m sorry  at least it`s Friday?,negative
"feels sorry every time I`m printing out, I use like 200 new papers",neutral
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative
 I always forget SOMETHING when I travel. I am at Newark airport.,neutral
